Ignore them, Arthur.  Such spirits are notorious liars.	Ignore them, Arthur.  Such spirits are notorious liars.
He cannot answer you. I have sealed his heartless lips forever, unless you choose to win his freedom.	He cannot answer you. I have sealed his heartless lips forever, unless you choose to win his freedom.
Blessed be.	Blessed be.
That would not help you much.	That would not help you much.
Launcelot will never go free, unless you find and return the object of power that was stolen from me.	Launcelot will never go free, unless you find and return the object of power that was stolen from me.
No weapon made, not even Excaliber, can shatter this ice formed by my will.	No weapon made, not even Excaliber, can shatter this ice formed by my will.
Money is meaningless to me.	Money is meaningless to me.
I will not touch it, for it has Gwenhyver's spell upon it.	I will not touch it, for it has Gwenhyver's spell upon it.
Nay, keep it. I have no use for such a thing.	Nay, keep it. I have no use for such a thing.
Aye, that is my heart and contains much of my power. Give it to me and I shall tell you where to search for the Grail.	Aye, that is my heart and contains much of my power. Give it to me and I shall tell you where to search for the Grail.
To free Launcelot will require first my good will. Do not anger me with attempts at bargaining.	To free Launcelot will require first my good will. Do not anger me with attempts at bargaining.
He is worth far more than that to me.	He is worth far more than that to me.
He can accept nothing while frozen in ice.	He can accept nothing while frozen in ice.
I thank you again for the return of the crystal heart, for much of my power is invested within it.	I thank you again for the return of the crystal heart, for much of my power is invested within it.
If you can return it to me, you will win my help.	If you can return it to me, you will win my help.
The ice and cold reflects my mood of late.	The ice and cold reflects my mood of late.
I gave you Excaliber because it is a sword worthy of a king.  Now make sure you are a king worthy of the sword.	I gave you Excaliber because it is a sword worthy of a king.  Now make sure you are a king worthy of the sword.
Did you not listen?  Go to Jerusalem, I said.	Did you not listen?  Go to Jerusalem, I said.
Bring me the object of power that was stolen from me, and I will tell you where to search.	Bring me the object of power that was stolen from me, and I will tell you where to search.
You have but to leave and I will keep Launcelot here, far from Gwenhyver.  I will not harm him, but you will be free of him.	You have but to leave and I will keep Launcelot here, far from Gwenhyver.  I will not harm him, but you will be free of him.
Launcelot is my prisoner because he has spurned my love and given his heart to your wife, Gwenhyver.  You should thank me, Pendragon, for thus removing your rival for her love.	Launcelot is my prisoner because he has spurned my love and given his heart to your wife, Gwenhyver.  You should thank me, Pendragon, for thus removing your rival for her love.
He did not come here.  Therefore I know nothing of him.	He did not come here.  Therefore I know nothing of him.
Merlin is your advisor, not I.	Merlin is your advisor, not I.
Here stands the Ice Maiden, a cold and unloving manifestation of the Lady of the Lake.  Near her is Sir Launcelot, imprisoned in ice.	Here stands the Ice Maiden, a cold and unloving manifestation of the Lady of the Lake.  Near her is Sir Launcelot, imprisoned in ice.
To reach Jerusalem, you must take ship to the port nearest it in that part of the world.	To reach Jerusalem, you must take ship to the port nearest it in that part of the world.
It is dark and cold and uninviting.	It is dark and cold and uninviting.
She looks quite frigid.  But if you are to free Launcelot, you must find a way to win her good will.	She looks quite frigid.  But if you are to free Launcelot, you must find a way to win her good will.
He is caught in a living death, spellbound in a frozen limbo.	He is caught in a living death, spellbound in a frozen limbo.
Everything is ice, formed from the frozen body of the lake by the Ice Maiden's magicks.	Everything is ice, formed from the frozen body of the lake by the Ice Maiden's magicks.
Your good friend and heroic knight, Sir Launcelot, is frozen inside a pillar of ice.	Your good friend and heroic knight, Sir Launcelot, is frozen inside a pillar of ice.
The inside of her palace is lined with stalagmites, stalactites and pillars of ice.	The inside of her palace is lined with stalagmites, stalactites and pillars of ice.
These unyielding pillars of ice were formed by the Ice Maiden's will.	These unyielding pillars of ice were formed by the Ice Maiden's will.
This ice pillar no longer holds the frozen body of Launcelot.	This ice pillar no longer holds the frozen body of Launcelot.
Sir Launcelot is imprisoned in a living death within this pillar of ice.	Sir Launcelot is imprisoned in a living death within this pillar of ice.
The recesses of the ice palace fade into a shrouded glimmer of frozen shadow.	The recesses of the ice palace fade into a shrouded glimmer of frozen shadow.
Your lips would stick.	Your lips would stick.
She is frigidly disinterested.	She is frigidly disinterested.
Do you think to threaten ME with the very sword I gave you from my own hand?  Once only will I tolerate this, or you will suffer the fate of Launcelot.	Do you think to threaten ME with the very sword I gave you from my own hand?  Once only will I tolerate this, or you will suffer the fate of Launcelot.
You are a noble man, Pendragon.  But we will see how true is your desire to save Launcelot when you are put to the test.  Follow me.	You are a noble man, Pendragon.  But we will see how true is your desire to save Launcelot when you are put to the test.  Follow me.
You should have heeded my warning!	You should have heeded my warning!
As icy fingers seize your spine And coldness numbs your brain You wish instead in battle hot You nobly had been slain.	As icy fingers seize your spine And coldness numbs your brain You wish instead in battle hot You nobly had been slain.
Alas, your ears are filled with ice You hear not my sad refrain, A frozen statue of despair In winter's hard domain.	Alas, your ears are filled with ice You hear not my sad refrain, A frozen statue of despair In winter's hard domain.
I shall return you to Camelot!	I shall return you to Camelot!
I have freed Sir Launcelot and sent him back to Camelot, but your journey goes on.  Farewell, King Arthur, and may you overcome every obstacle with the same wit and courage you have shown here.	I have freed Sir Launcelot and sent him back to Camelot, but your journey goes on.  Farewell, King Arthur, and may you overcome every obstacle with the same wit and courage you have shown here.
You may not pass that way, Pendragon, unless I lead you there.	You may not pass that way, Pendragon, unless I lead you there.
You may not pass that way.	You may not pass that way.
I sense the presence of Merlin.  But I know that which he does not -- where to search for the Grail.  But to win my help, you must find and return an object of power that was stolen from me.	I sense the presence of Merlin.  But I know that which he does not -- where to search for the Grail.  But to win my help, you must find and return an object of power that was stolen from me.
Go, and I will transport you safely across the ice.  Do not return unless you bring it to me!	Go, and I will transport you safely across the ice.  Do not return unless you bring it to me!
Blessed be!  For this greatest of all gifts, I will give you the gift of knowledge in return.	Blessed be!  For this greatest of all gifts, I will give you the gift of knowledge in return.
To find the Grail, you must take ship to Gaza, then seek Jerusalem.  Somewhere in that city it lies hidden. 	To find the Grail, you must take ship to Gaza, then seek Jerusalem.  Somewhere in that city it lies hidden. 
Once you leave here, I will transport you safely across the ice to continue your search.  But Launcelot I will keep here, for he has spurned my love in favour of your queen. I will not release him, unless you ask it.	Once you leave here, I will transport you safely across the ice to continue your search.  But Launcelot I will keep here, for he has spurned my love in favour of your queen. I will not release him, unless you ask it.
I can only tell you the name of each flower, if you ask about them.  Beyond that, you must consult your Liber ex Doctrina.	I can only tell you the name of each flower, if you ask about them.  Beyond that, you must consult your Liber ex Doctrina.
It grows from a bed of soil locked in ice.	It grows from a bed of soil locked in ice.
Clearly, this Miraculous Bush of Flowers is the work of the Lady's sorcery, for it contains many different flowers upon the one bush.	Clearly, this Miraculous Bush of Flowers is the work of the Lady's sorcery, for it contains many different flowers upon the one bush.
Move to where you can best see all the flowers.	Move to where you can best see all the flowers.
Very well.  Let the test begin.	Very well.  Let the test begin.
Clearly, the bush grows here only by the Ice Maiden's magicks, yet it looks like an ordinary bush in an ordinary patch of soil.	Clearly, the bush grows here only by the Ice Maiden's magicks, yet it looks like an ordinary bush in an ordinary patch of soil.
These are all the flowers on the Miraculous Bush of Flowers:   almond blossom, anemone, buttercup, chrysanthemum, cornflower, daffodil, forget-me-not, lilly, poppy, and sunflower.	These are all the flowers on the Miraculous Bush of Flowers:   almond blossom, anemone, buttercup, chrysanthemum, cornflower, daffodil, forget-me-not, lilly, poppy, and sunflower.
In this glittering cave of ice, it is strange and wondrous to see a living thing.  Yet there stands the Miraculous Bush of Flowers.	In this glittering cave of ice, it is strange and wondrous to see a living thing.  Yet there stands the Miraculous Bush of Flowers.
She looks expectant, in a frosty sort of way.	She looks expectant, in a frosty sort of way.
He is in the pillar of ice and will remain there, unless you pass the Ice Maiden's test and free him.	He is in the pillar of ice and will remain there, unless you pass the Ice Maiden's test and free him.
All but the Bush is ice, formed from the frozen body of the lake by the Ice Maiden's magicks.	All but the Bush is ice, formed from the frozen body of the lake by the Ice Maiden's magicks.
Please consult your Libera ex Doctrina.	Please consult your Libera ex Doctrina.
In every other respect, the bush is quite ordinary.	In every other respect, the bush is quite ordinary.
There are no less than ten flowers upon this bush.	There are no less than ten flowers upon this bush.
First, you must pass my test.	First, you must pass my test.
The different flowers fill the air with their mingled fragrances.	The different flowers fill the air with their mingled fragrances.
When you are ready for the test, we shall begin.	When you are ready for the test, we shall begin.
Come, Pendragon.  My patience is not without limit.  If you will not look at the Bush and take this test, I will send you from here.	Come, Pendragon.  My patience is not without limit.  If you will not look at the Bush and take this test, I will send you from here.
It would seem that your courage has failed you.  Farewell, then.	It would seem that your courage has failed you.  Farewell, then.
You are worthy of the great legends that will live on in your name.  Come with me.	You are worthy of the great legends that will live on in your name.  Come with me.
Do not touch the Miraculous Bush of Flowers.  You may revel in the sight and scent of it, but it is mine alone to touch.	Do not touch the Miraculous Bush of Flowers.  You may revel in the sight and scent of it, but it is mine alone to touch.
I warn you most sternly, do not pursue this or I will punish you.	I warn you most sternly, do not pursue this or I will punish you.
To speak the Language of the Flowers means simply to know the special meaning that belongs to each flower, what thought or emotion is associated with it.	To speak the Language of the Flowers means simply to know the special meaning that belongs to each flower, what thought or emotion is associated with it.
Nay, keep it.  I have no use for such a thing.	Nay, keep it.  I have no use for such a thing.
You are here to free Launcelot.....if you dare.	You are here to free Launcelot.....if you dare.
It is my Miraculous Bush of Flowers. Go look closely upon the one side that is in bloom.	It is my Miraculous Bush of Flowers. Go look closely upon the one side that is in bloom.
That way is closed to you now, unless you can speak the Language of the Flowers and free Launcelot.	That way is closed to you now, unless you can speak the Language of the Flowers and free Launcelot.
You will hear me out first.	You will hear me out first.
To free Launcelot, you must speak the Language of the Flowers.  I will pose three riddles.  You must give me the name of the flower that solves each riddle.	To free Launcelot, you must speak the Language of the Flowers.  I will pose three riddles.  You must give me the name of the flower that solves each riddle.
The Language of the Flowers is the thought or emotion associated with each flower.  If you know this, you may be able to choose correctly.  If you fail even once, you will join Launcelot in a tomb of ice.	The Language of the Flowers is the thought or emotion associated with each flower.  If you know this, you may be able to choose correctly.  If you fail even once, you will join Launcelot in a tomb of ice.
But I will not force this upon you.  Recite the Message of the Rose and I will send you safely away, though Launcelot will not go free.	But I will not force this upon you.  Recite the Message of the Rose and I will send you safely away, though Launcelot will not go free.
But if you are determined to free your comrade in arms, look closely at the Miraculous Bush of Flowers.  And be warned: once you begin, you may not turn away from your fate.	But if you are determined to free your comrade in arms, look closely at the Miraculous Bush of Flowers.  And be warned: once you begin, you may not turn away from your fate.
Use cursor keys or mouse to choose a flower. Press "Enter" or mouse button to answer riddle with the flower you've chosen.	Use cursor keys or mouse to choose a flower. Press "Enter" or mouse button to answer riddle with the flower you've chosen.
Here is the first riddle. Remember, you must choose the flower that best answers it.	Here is the first riddle. Remember, you must choose the flower that best answers it.
Press F6 to see riddle again	Press F6 to see riddle again
Your wisdom is great. Here is the next riddle.	Your wisdom is great. Here is the next riddle.
Truly you are worthy to be king. The test is ended. Launcelot shall go free.	Truly you are worthy to be king. The test is ended. Launcelot shall go free.
